seed,accuracy,roc_auc,coefficient_cosine_to_truth,fit_ms
11,0.7983333333333333,0.8698074523087894,0.9980324608948377,609.6317999999883
23,0.8166666666666667,0.8968865529375083,0.997715214030431,418.59569999905943
37,0.8183333333333334,0.8968373493975904,0.999626753562084,471.9755999994959
41,0.8166666666666667,0.8964702174598173,0.9973920383728087,448.4792000002926
53,0.8083333333333333,0.88079595563672,0.9994946505124973,416.86399999889545
67,0.7783333333333333,0.879106321871069,0.996752270843813,413.03829999924346
71,0.7816666666666666,0.8630245535714286,0.9976597398384786,411.10420000040904
83,0.7633333333333333,0.8530685314685315,0.9963733728416189,409.7161000008782
97,0.7983333333333333,0.8687680103249925,0.9986967244115367,403.343699999823
101,0.795,0.8735940965990793,0.9985140753660141,519.1709999999148
